broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
288338552,[버컴] 클로버핏) 사장님 도박은 취미로만 하셔야죠🧡,dnwnwjdqhr53,설레랑,487,2025-10-15 07:59:59.0,"['마크', '마병대', '버추얼', '버컴퍼니', '마인크래프트']",2025-10-15T04:26:35Z,soop,00810000
288340328,추억의 장소들..,dokkhye0000,독고혜지_,476,2025-10-15 10:37:07.0,"['고멤', '여고멤', '왁타버스', '우왁굳']",2025-10-15T04:26:35Z,soop,00810000
288340108,이리와서 앉아보렴 취직은 했니 결혼은 언제하려고 그러니 애인도 없는거니 밥은 제대로 먹고 다니는거지 이게 다 너 위해서 하는 소ㄹ,muse0116,뮤즈_MUSE,475,2025-10-15 10:18:26.0,"['버튜버', '버추얼', '꼬라지']",2025-10-15T04:26:35Z,soop,00810000
288339492,[버컴] 해초마을 초대권 두장 필요합니다.,0e0e4e,키이세,184,2025-10-15 09:29:40.0,"['키이세', '아니고', '키위새', '버컴', '마병대']",2025-10-15T04:26:35Z,soop,00810000
288243270,[왁치동] 해초마을 건축가 거대별,sikhye1004,거대별,176,2025-10-11 20:00:37.0,"['거태식', '뉴걸', '버츄얼', '버튜버', '거라벨']",2025-10-15T04:26:35Z,soop,00810000
288341432,드라이브 로그라이크 ㅇㅅㅇ,hachi97,하치_HACHI,118,2025-10-15 12:02:24.0,"['버튜버', '버추얼', '종합게임', '아이작', '꼬라지']",2025-10-15T04:26:35Z,soop,00810000
288339446,그러게 말입니다,duvl123,모요,115,2025-10-15 09:25:30.0,['모요'],2025-10-15T04:26:35Z,soop,00810000
288338716,봉모닝~JPOP 많이는 모르는디 전문가분과 모닝 JPOP 이상형 월드컵 (w 야구자),goatgobong,촌장_고봉,106,2025-10-15 08:18:23.0,"['왁타버스', '고멤', '고봉', '우왁굳', '촌장']",2025-10-15T04:26:35Z,soop,00810000
288342142,생존신 고 삐용삐용,haroha,하로하!,106,2025-10-15 12:55:04.0,"['블루점프', '노래', '버추얼']",2025-10-15T04:26:35Z,soop,00810000
288340650,지옥에서 온 헤드폰 끼고있어요,limivlup,리미★,106,2025-10-15 11:00:29.0,"['브이럽', '리미', '한일합작', '일본어', '日本語']",2025-10-15T04:26:35Z,soop,00810000
