broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
288822156,[버컴] 아침 8시 키이세 [풍은 도전미션에],0e0e4e,키이세,132,2025-11-02 07:59:59.0,"['키이세', '아니고', '키위새', '버컴']",2025-11-01T23:20:42Z,soop,00810000
288821578,[노휴방 637일/서말리] 8시 생생정보숲🌳,nclavis06,클라비스,97,2025-11-02 06:00:29.0,"['아침', '뉴스', '버추얼']",2025-11-01T23:20:42Z,soop,00810000
288818774,[종겜/FPS] 짱 기여움 덕코프 : DucKov💛,mongggee,박몽총,88,2025-11-02 00:33:35.0,"['버튜버', '버츄얼', 'ASMR', '잔잔', '힐링']",2025-11-01T23:20:42Z,soop,00810000
288809642,"[오락실] 오늘 인첸 마스터 합니다 (방셀 33,330|500룰렛)",rapja2025,랩자RAPJA,78,2025-11-01 20:00:35.0,"['걸즈원', '오락실', '오아', '방셀']",2025-11-01T23:20:42Z,soop,00810000
288809528,🧡할로윈 방셀 룰렛 100/500💜,gurm01,김쁘피,58,2025-11-01 19:59:46.0,"['쁘삐', '무켓단', '분내신도시', '마카오톡', 'ASMR']",2025-11-01T23:20:42Z,soop,00810000
288815574,[고래상사] 롤 죽기빵 죽어 죽어 w.감자가비 쏭이 온자두,xpdpfv2,이지수^^*,55,2025-11-01 22:28:42.0,"['봉준', '바람의나라클래식', '버추얼', '종합게임', '고래상사']",2025-11-01T23:20:42Z,soop,00810000
288806826,[습레기통] 5부는 소통,janine95kim,재닌,52,2025-11-01 18:40:55.0,"['버튜버', '버른살', '습레기통', '마병대', '특별소대']",2025-11-01T23:20:42Z,soop,00810000
288814540,🍊후열,star124,하밍,42,2025-11-01 22:00:27.0,"['하밍', '버추얼', '하미인']",2025-11-01T23:20:42Z,soop,00810000
288822162,숙취 노래방🎵/ 노래신청 100개,kaam0802,카아암,36,2025-11-02 08:00:22.0,"['노래', '뉴걸', '소통']",2025-11-01T23:20:42Z,soop,00810000
288817108,🍑아아 딱말한다 월초라는데?🍑새벽지킴이 통나무환영🍑[SOOP][맞방귓],mihui96,슘,36,2025-11-01 23:17:28.0,"['버추얼', '뉴걸', '신입', '시참']",2025-11-01T23:20:42Z,soop,00810000
288807438,와 진짜 ㄹㅈㄷ 🎃 룰렛 33/330,reumdal,꾸름달,30,2025-11-01 19:00:18.0,"['버추얼', '노래', '소통']",2025-11-01T23:20:42Z,soop,00810000
288766802,히피 노방종 16일차,hipiii,히피,29,2025-10-31 04:45:48.0,"['리그오브레전드', '버추얼', '롤']",2025-11-01T23:20:42Z,soop,00810000
288806030,[꾸한성] 소통의시간 (룰렛40)),so218218,강뿌잉_,29,2025-11-01 18:11:29.0,"['소통', '버추얼', '마병대', '수색대', '마크']",2025-11-01T23:20:42Z,soop,00810000
288814454,뉴걸] 모닝 공겜 바이오하자드7 켠왕,naonfromsea,나온!,28,2025-11-01 21:59:32.0,"['버츄얼', '뉴걸', '버추얼']",2025-11-01T23:20:42Z,soop,00810000
288822176,[오락실] 멍이루,jisoo9709134,멍지수.,28,2025-11-02 08:01:07.0,"['버추얼', '배그', 'F1', '오락실']",2025-11-01T23:20:42Z,soop,00810000
288816576,[뉴걸/지학교] 저..배그할껀데..너무 못해서..답답하고..암걸리고...욕하면....,duddj4210,뚜우♡,26,2025-11-01 22:59:25.0,"['뉴걸', '신입', '노래', '버추얼', '소통']",2025-11-01T23:20:42Z,soop,00810000
288809706,🎊 잔잔 작업뱅 🎊/ 11월 방셀 61개,ryuhena,류헤나,25,2025-11-01 20:01:07.0,"['뉴걸', '버츄얼', '3D작업자']",2025-11-01T23:20:42Z,soop,00810000
288815876,[습레기통] 별별랭킹 보자!!  매콤한정 할로윈방셀 2852,loveya4860,하루아이,24,2025-11-01 22:36:26.0,"['뉴걸', '버추얼', '노래라이브', '종겜', '소통고민상담']",2025-11-01T23:20:42Z,soop,00810000
288807386,"[털즈란] 인타임 첫 다이아서버 들어갑니다! [33/34/162,11연차]",k4187421,슈니★,23,2025-11-01 19:00:04.0,"['뉴걸', '털즈란', '신입', '슈니']",2025-11-01T23:20:42Z,soop,00810000
288815678,[뉴걸/다미챠] 휴방 반납하고 다이아 캐러갑니다..,seuls2,슬한별,21,2025-11-01 22:30:49.0,"['버추얼', '뉴걸', '노래', '신입', '소통']",2025-11-01T23:20:42Z,soop,00810000
288811390,[인타임] 오픈런~! / 할로윈 방셀,sizueko,시즈애,21,2025-11-01 20:40:28.0,"['급발진', '뉴걸', '조용한데시끄러움', '배틀그라운드']",2025-11-01T23:20:42Z,soop,00810000
288812638,[고래상사] 방종전 가볍게? 롤드가자 w.고래상사,gatgdf,쏭이♥,21,2025-11-01 21:06:53.0,"['쏭이', '고래상사', '버추얼']",2025-11-01T23:20:42Z,soop,00810000
288808796,[젬미나/뉴걸] 힐링이 필요해,younamra,유남라,20,2025-11-01 19:41:57.0,"['버츄얼', '버튜버', '뉴걸', '신입', '소통']",2025-11-01T23:20:42Z,soop,00810000
288821176,"역시 소별이,,",sikhye1004,거대별,19,2025-11-02 04:27:48.0,"['거태식', '뉴걸', '버츄얼', '버튜버', '거라벨']",2025-11-01T23:20:42Z,soop,00810000
288783932,[48시간] 자고 오겠습니다! 3시 20분에 오겠습니다! | #뇌녹즈,bethmj,깅미잉,19,2025-10-31 20:51:40.0,"['버츄얼', '똥쌀까', '뇌녹즈', '종합게임']",2025-11-01T23:20:42Z,soop,00810000
288811986,[인타임] 테스트 서버 오픈런 가부자구💚,doraim,도라임,19,2025-11-01 20:56:15.0,"['버추얼', '뉴걸', '악동', '소통']",2025-11-01T23:20:42Z,soop,00810000
288821286,이른아침의 루디 메가봉스3깨기 가자//592개 할로윈 단컷2장!!!,mnomno55,루디딕,19,2025-11-02 04:45:19.0,"['버추얼', '뉴걸', '소통', '모비노기', '그린캠프']",2025-11-01T23:20:42Z,soop,00810000
288821582,아침 유입을 구함,bekuku,베쿠♬,18,2025-11-02 06:00:49.0,"['뉴걸', '신입', '노래', '밴드', '방셀']",2025-11-01T23:20:42Z,soop,00810000
288822172,굿모닝,cyborgdotdot,돝돝Dotdot,16,2025-11-02 08:00:59.0,"['왁타버스', '버튜버', '맵제작자', '텐션낮음', '사이보그']",2025-11-01T23:20:42Z,soop,00810000
288822154,드릴을 겸한 짧뱅,sayseram2,윤세람,15,2025-11-02 07:59:58.0,"['뉴걸', '신입', '버츄얼', '버추얼']",2025-11-01T23:20:42Z,soop,00810000
288534124,오후 1시에 봐요!,pqf1234,오늘님,14,2025-10-22 13:59:16.0,"['소통', '버츄얼', '마병대3', '수색소대', '노방종']",2025-11-01T23:20:42Z,soop,00810000
288821348,[하티아] 잔잔한 작업뱅 + 덕코프 잠깐!,veryveny,베니_VENY,14,2025-11-02 05:00:44.0,"['버추얼', '버츄얼', '하티아', '뉴걸', '덕코프']",2025-11-01T23:20:42Z,soop,00810000
288807506,[노방종] 힐링 덕코프,kkumjjogi,쪽잉,13,2025-11-01 19:01:21.0,"['유입환영', '룰렛', '버추얼', '방셀', '마병대']",2025-11-01T23:20:42Z,soop,00810000
288811844,12일차) 도박은 이렇게 하는거란다👻,loppi43,로삐◇,12,2025-11-01 20:53:44.0,"['신입', '공포', '뉴걸', '공포게임', '쫄보']",2025-11-01T23:20:42Z,soop,00810000
