broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
290160698,리듬게임 해봐야징,lilpa0309,릴파♬,6430,2025-12-22 20:03:12.0,"['릴파', '이세계아이돌', '이세돌', '대파']",2025-12-22T11:29:27Z,soop,00810000
290156022,[하데스] 디~~데이~!디~~데이~!어쩌고저쩌고울라울라오너로인해완성될메가피스하~모니~!,ldrboo,솜주먹,2520,2025-12-22 18:01:32.0,"['나야주머기', '하데스']",2025-12-22T11:29:27Z,soop,00810000
290152310,[도파민] 2부,nmangoquince,망구랑,2473,2025-12-22 15:00:16.0,"['킹냥이', '캬앙', '도파민', '버컴', '감컴']",2025-12-22T11:29:27Z,soop,00810000
290156914,도그마 ㅠㅠ,htvv2i,햇비,1796,2025-12-22 18:31:15.0,"['버튜버', '날씨요정', '환승센터']",2025-12-22T11:29:27Z,soop,00810000
290158160,[하데스] 8시 SBA 연말공연(프리블록스),kymakyma,키마,1497,2025-12-22 19:04:10.0,"['버추얼', '노래', '음악', '하데스', '키마']",2025-12-22T11:29:27Z,soop,00810000
290159530,어서오싱용ㅇ!!!!!!!!!!!!!!!! (일러레 모집중 !모집),rmlrl771,끠끼,792,2025-12-22 19:40:08.0,"['버추얼', '끄1끼', '끠끠']",2025-12-22T11:29:27Z,soop,00810000
290155886,[도그마:맹든링] 3-3 깨보러 가볼까요!! 19일차!! [방셀 1487 / 7500],danz59,단즈_,770,2025-12-22 17:59:27.0,"['한화', '버추얼', '도깨비', '1440p']",2025-12-22T11:29:27Z,soop,00810000
290155996,잔잔 카페털기,jey422,뢴트게늄,606,2025-12-22 18:01:00.0,"['왁타버스', '뢴트게늄', '고멤', '이세돌매니저']",2025-12-22T11:29:27Z,soop,00810000
290159366,도그마 마그도 그마도 마도그,kirababy2,유키라,593,2025-12-22 19:35:34.0,"['버츄얼', '사신', '왁치동', '환승센터']",2025-12-22T11:29:27Z,soop,00810000
290159172,따린 등장!!,insome0319,따린,482,2025-12-22 19:30:54.0,"['버컴', '단결따박', '개모임']",2025-12-22T11:29:27Z,soop,00810000
290158516,🌱｜[하데스] SBA 12월 연말 콘서트 in 프리블록스 🩵,whatcherry4,연초록♪,456,2025-12-22 19:13:08.0,"['노래', '하데스']",2025-12-22T11:29:27Z,soop,00810000
290153632,밀린 이봤보기,imha22,임하밍,417,2025-12-22 16:11:59.0,"['이마밍', '하밍', '고구마', '천타버스']",2025-12-22T11:29:27Z,soop,00810000
290153554,3주년 구북이들과 술먹방💕,beadyo97,구슬요,388,2025-12-22 16:08:04.0,"['구슬요', '감나무', '개모임']",2025-12-22T11:29:27Z,soop,00810000
290154582,진짜 얼마 안남앗다는거임,mawang0216,마왕0216,355,2025-12-22 17:00:24.0,"['심연', 'AI', '환승센터']",2025-12-22T11:29:27Z,soop,00810000
290155546,7시 싱유 온앤오프 유설아x사이다x야무지x울큰고,yjkim5500,조디악악악,344,2025-12-22 17:46:36.0,['조적단'],2025-12-22T11:29:27Z,soop,00810000
290157970,[버컴] 지쳐 쓰러지며~~ 되돌아 가는~~,gofl2237,해리,342,2025-12-22 19:00:51.0,"['버컴', '종합게임', '전해리', '감스트', '감컴']",2025-12-22T11:29:27Z,soop,00810000
290159036,[도파민]안뇽하세요잉,kyaang123,캬앙,309,2025-12-22 19:28:36.0,"['도파민', '천타버스', '노래', '고미식', '도그마']",2025-12-22T11:29:27Z,soop,00810000
290155552,드릴말씀... ㅎ.ㅎ,liloolil,해솔♡,294,2025-12-22 17:46:50.0,"['버추얼', '버츄얼', '버인협회', '버인', '해솔']",2025-12-22T11:29:27Z,soop,00810000
