broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
289973606,빙하기 전에 잠깐 하이부가~,jingburger1,징버거☆,4803,2025-12-15 16:14:42.0,"['이세계아이돌', '왁타버스', '미소녀강호동', '부가땅']",2025-12-15T08:42:19Z,soop,00810000
289972178,[하데스] 개스레기요일,ldrboo,솜주먹,1573,2025-12-15 15:00:39.0,"['나야주머기', '하데스']",2025-12-15T08:42:19Z,soop,00810000
289973820,집밖은 어렵고 위험해,danchu17,단츄♪,1098,2025-12-15 16:27:34.0,"['버추얼', '버컴', '단코한끼']",2025-12-15T08:42:19Z,soop,00810000
289973322,[버컴] 자 이번주도 화이팅 해보자고!,gofl2237,해리,527,2025-12-15 16:00:34.0,"['버컴', '종합게임', '전해리', '감스트', '감컴']",2025-12-15T08:42:19Z,soop,00810000
289974750,부히힛,mingyeolhee,민결희,495,2025-12-15 17:05:02.0,"['버추얼', '종합게임', '공포게임']",2025-12-15T08:42:19Z,soop,00810000
289975194,하이욥,nangnan,깐숙,348,2025-12-15 17:27:40.0,[],2025-12-15T08:42:19Z,soop,00810000
289973056,맹든링 12일차,baeksoon2,파니_,304,2025-12-15 15:50:22.0,"['파니', '소통', '종합게임', '백순이', '천타버스']",2025-12-15T08:42:19Z,soop,00810000
289973368,"[종달새] 아스날과 맨유, 하... 미안한데 오늘만 두집 살림 할게",yoonesaem,윤이샘,270,2025-12-15 16:02:08.0,"['윤이샘', '종달새']",2025-12-15T08:42:19Z,soop,00810000
289974526,힘들때 웃는게 일류다,kgoyangyeeee,누눙지,218,2025-12-15 16:59:24.0,"['버츄얼', '블루점프', '눙지', '조아용', '여캠']",2025-12-15T08:42:19Z,soop,00810000
289972262,🌹 [고래상사/파국]  맹든링 12일차  / API 저금통 환영🌹,gyeonjahee,견자희,216,2025-12-15 15:04:29.0,['견자희'],2025-12-15T08:42:19Z,soop,00810000
289971624,불한당 상영회!,haroha,하로하!,190,2025-12-15 14:30:05.0,"['블루점프', '노래', '버추얼']",2025-12-15T08:42:19Z,soop,00810000
