broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287032054,마이괜 - 소소하게 컨텐츠 짜고 브얄 하는날,mawang0216,마왕0216,372,2025-08-28 10:24:12.0,"['심연', 'AI', '인공지능']",2025-08-28T03:03:40Z,soop,00810000
287030178,무엇이든지 물어보세요 소통뱅,kumamyong,쿠마묭,156,2025-08-28 06:55:11.0,"['버튜버', '뉴스', '버츄얼', '버추얼']",2025-08-28T03:03:40Z,soop,00810000
286958274,연습서버 마지막날입니다 ! [버컴],cctvno,유연서,134,2025-08-25 16:52:08.0,[],2025-08-28T03:03:40Z,soop,00810000
286929820,마지막날!!ㅁ ㅣ 꾸리한다이아서버 노방종 222개 룰렛,ooonae,온네님,89,2025-08-24 14:40:06.0,"['라디오', '버츄얼', '노래', '버추얼', 'ASMR']",2025-08-28T03:03:40Z,soop,00810000
287026356,🐤 젤다하다보니 아침이 되었어요..,kjhh0029,카나시,83,2025-08-27 23:36:05.0,"['버츄얼', '버튜버', '버추얼']",2025-08-28T03:03:40Z,soop,00810000
287030660,무료로 노래하는 떠향이 구경하기 💛/ 씨디+방셀이벤트 방송국 공지이써요 (8/29까지),sh02050,백서향,75,2025-08-28 08:01:29.0,"['노래', '소통', '신입', '웰컴']",2025-08-28T03:03:40Z,soop,00810000
287031400,좋은 아침입니다!,bttolang,바또랑,65,2025-08-28 09:28:33.0,"['버츄얼', '버튜버', '신입', '이매방랑', '유앤아이']",2025-08-28T03:03:40Z,soop,00810000
287003006,음색맛집🎵 [노방종룰렛💜33/34/331/341],kaam0802,카아암,57,2025-08-27 08:00:47.0,"['노래', '뉴걸']",2025-08-28T03:03:40Z,soop,00810000
287025450,25살에 한달이면 헌걸임?,50loing,오잉_OING,50,2025-08-27 23:00:39.0,"['엘리브에잇', '오잉', '히키코모리', '바보', '오타쿠']",2025-08-28T03:03:40Z,soop,00810000
287031680,목요일에는 츠키랑,tsukizz6,움츠키,50,2025-08-28 10:00:05.0,"['버추얼', '노래', '신입']",2025-08-28T03:03:40Z,soop,00810000
