category_no,category_name,2025-08-26T11:00:00Z,2025-08-26T12:00:00Z,2025-08-26T13:00:00Z,2025-08-26T14:00:00Z,2025-08-26T15:00:00Z,2025-08-26T16:00:00Z,2025-08-26T17:00:00Z,2025-08-26T18:00:00Z,2025-08-26T19:00:00Z,2025-08-26T20:00:00Z,2025-08-26T21:00:00Z,2025-08-26T22:00:00Z,2025-08-26T23:00:00Z,2025-08-27T01:00:00Z,2025-08-27T03:00:00Z,2025-08-27T04:00:00Z,2025-08-27T05:00:00Z,2025-08-27T06:00:00Z,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z
00040080,데드 바이 데이라이트,3,4,2,0,10,10,8,0,6,6,7,0,0,0,0,0,2,,2,1,0,0,0
00040081,디아블로 II,124,143,126,131,121,90,58,55,25,16,6,9,18,44,44,28,29,32,16,21,47,47,93
00040082,도타2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00040083,엘소드,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040085,프리스타일,48,59,55,53,46,29,2,0,0,0,0,0,0,0,0,15,24,31,23,21,23,24,31
00040086,겟앰프드,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040087,이카루스,2,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
00040088,마구마구,23,17,15,21,0,7,9,0,0,0,0,0,0,0,5,6,7,8,7,17,11,0,1
00040089,메이플스토리2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040090,몬스터 헌터 월드: 아이스본,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040091,osu!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040092,R2,2,1,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
00040093,라그나로크 온라인,20,8,8,8,8,14,10,1,1,0,0,0,0,2,13,3,3,2,6,13,12,19,20
00040094,톰 클랜시의 레인보우 식스 시즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0
00040095,슬러거,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
00040096,천하제일상 거상,86,135,122,115,78,68,62,44,25,22,20,2,6,25,41,50,52,49,50,31,57,64,87
00040099,트리 오브 세이비어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040102,월드 오브 탱크,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
00040103,레전드 오브 룬테라,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040105,검은사막,8,10,9,9,9,8,0,0,0,0,0,0,0,0,0,5,8,9,11,10,12,11,2
00040106,스컬: 더 히어로 슬레이어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040107,이스케이프 프롬 타르코프,3,6,7,7,9,9,9,7,3,3,4,1,1,0,0,0,0,0,4,4,4,7,9
00040108,콜 오브 듀티,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040110,발로란트,1438,2175,2460,2768,2795,2446,522,340,199,146,121,153,140,1580,93,157,173,257,282,405,411,502,817
00040111,모여봐요 동물의 숲,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040114,폴 가이즈,40,43,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,33,22
00040115,어몽 어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040116,헌터스 아레나: 레전드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040117,포켓몬스터 스칼렛 · 바이올렛,8,11,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040119,사이버펑크 2077,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
00040120,이터널 리턴,407,278,280,277,211,168,145,124,121,79,78,110,132,181,193,223,247,254,245,258,282,140,482
00040121,종합게임,5146,5887,6156,10644,6409,7455,6432,6159,3309,650,451,436,370,1483,1911,750,1921,4373,4168,657,666,2822,4474
00040122,블레이드 어썰트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040124,FIFA 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040126,아키에이지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040127,커츠펠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040128,오버워치 2,78,106,108,99,83,62,69,71,63,57,43,41,27,22,24,22,20,29,38,42,90,135,148
00040129,Football Manager 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040131,VRChat,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,253
00040132,갓 오브 워 라그나로크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040133,소닉 프론티어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040134,페르소나 5 더 로열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040135,eFootball 2024,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040136,칼리스토 프로토콜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040137,유희왕 마스터 듀얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040138,데드 스페이스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040139,용과 같이 유신! 극,0,0,9,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040140,와룡: 폴른 다이너스티,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
