broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287834640,Ofel 새로운 팀컬러 보기 ,xjxj4040,T1강준호_,331,2025-09-26 13:27:01.0,"['T1', 'FC온라인', '피파4']",2025-09-26T07:21:03Z,soop,00040070
287837702,급생! 열받네요;; 진지하게 드릴말씀있습니다........ FC온라인 피파4 마빡,vbvb1230,마빡,199,2025-09-26 15:51:01.0,"['감스트', '뿌꾸', '피파4', '맨시티', '드롭스']",2025-09-26T07:21:03Z,soop,00040070
287831352,"본캐 서버최초 FSL굴리트 금카 누르기 직전,,,,,,,스케줄신청 받습니다!!FC온라인 피파4",sskss1606,BJ벨로드,129,2025-09-26 09:10:18.0,"['두치와뿌꾸', '감스트', '이상호', '봉준', '김민교']",2025-09-26T07:21:03Z,soop,00040070
287838326,봉훈 TV 등장 오늘은 반드시. 피파4,6650junghun,유봉훈,65,2025-09-26 16:18:19.0,"['FC온라인', '피파4']",2025-09-26T07:21:03Z,soop,00040070
287838180,ㄹㅇ급생방 뭐 잘못사면 지금 ㅈ된다 ㄹㅇ; 시세분석PPT 다시보기X 빅윈 피파4 피파4,dstv,빅윈,42,2025-09-26 16:10:47.0,"['빅윈', 'bj두치와뿌꾸', 'FC온라인']",2025-09-26T07:21:03Z,soop,00040070
287832578,현 1등●4141 깎는 노인 레리도 1등 갑니다,voa0321,Dh텍즈,41,2025-09-26 10:59:07.0,"['FC온라인', '피파', '축구', '울산현대', '강은호']",2025-09-26T07:21:03Z,soop,00040070
287837178,스케줄 받아욤 강화 빼고 다 받아염  피파4,ppooiiuumm,유태봉.,31,2025-09-26 15:26:53.0,[],2025-09-26T07:21:03Z,soop,00040070
287837522,으네임당,seh0305,으-네,30,2025-09-26 15:42:12.0,"['피파4', '으네', 'fc온라인', '건강하시고', '행복하세요']",2025-09-26T07:21:03Z,soop,00040070
287832262,"CH 9카팩 떴다.. 1경두 뽑고 열혈 기둥도 뽑겠습니다 #74  [FC온라인, 피파]      ",aaa110011,U은재♡,22,2025-09-26 10:30:08.0,"['축구', '피파', '피파온라인', '피파4', '시참']",2025-09-26T07:21:03Z,soop,00040070
287834734,본캐 신상 CH히바우두 영입완료 스케줄받습니다 피파4,evertime,김우다.,22,2025-09-26 13:31:47.0,"['피파', '두치와뿌꾸', 'fc온라인', '빅윈', '이상호']",2025-09-26T07:21:03Z,soop,00040070
287835064,"🔥불금 스쿼드 상담소 OPEN! (팀평, 스쿼드 맛집) FC온라인 피파4",hbsm12,안사원.,22,2025-09-26 13:51:37.0,"['피파4', '피파', '피파온라인', '피온']",2025-09-26T07:21:03Z,soop,00040070
287834064,"[키보드챔스,감독모드슈챔] 팀평, 스쿼드 받습니다.",als2956,만싸,18,2025-09-26 12:47:46.0,"['fc온라인', '피파']",2025-09-26T07:21:03Z,soop,00040070
287835578,2200조 스페인 팀리뷰 [스케줄 환영] FC온라인 피파4,bullson8,혁나브리,18,2025-09-26 14:14:39.0,"['피파온라인4', '혁나브리', 'FC온라인', '피파4']",2025-09-26T07:21:03Z,soop,00040070
287830364,●유더● ⚽골룰렛⚽ 6166골. 오늘은 공경데이. 티어좀 올려보자ㅏㅏㅏ.  ,dbej,유더,13,2025-09-26 07:27:43.0,"['FC온라인', '피파온라인', '피파', '축구', '시참']",2025-09-26T07:21:03Z,soop,00040070
287836662,[슈챔]독일 80% 완성 레전더리 리그 on/스케줄 환영함돠~~,kimjeric0,민식이냐.,12,2025-09-26 15:01:03.0,[],2025-09-26T07:21:03Z,soop,00040070
287835180,ws즐라탄 금카 드뎌 떳다 !!!! 제가 한번 써보겠습니다,shy0213,BJ홍글이,12,2025-09-26 13:57:19.0,"['신입', '유부남', '피파4', '두치와뿌꾸', '축구']",2025-09-26T07:21:03Z,soop,00040070
287802664,"[영포티 뻥형의 fc online, 피파4] 피린이 모여라!",yeomdj86,뻥형★,10,2025-09-25 04:55:11.0,"['피파4', 'FC온라인', '축구', '감독모드', '뻥글랜드']",2025-09-26T07:21:03Z,soop,00040070
287836660,"2453골 D-1 800일!!  유튜브 구독 이벤트중!!  시참,팀평,팀리뷰 환영",dksthgus0601,로즈마리♥,10,2025-09-26 15:01:02.0,"['피파', '피파4', 'fc온라인', '두치와뿌꾸']",2025-09-26T07:21:03Z,soop,00040070
287837818,"(생) 반갑습니다!  불타는 금요일 1000조까지 달려보죠 1차방송 강화소통bj 강화스케쥴,강화매물추천,시세예측해드려요~",kgkalstmd119,핑크김치,10,2025-09-26 15:57:26.0,"['피파4', '피파', 'fc온라인', '인생강화']",2025-09-26T07:21:03Z,soop,00040070
287837416,[600조 맨시티] 피파하자. 대낙5. 10접15.,vadia0317,루짱아,9,2025-09-26 15:37:35.0,"['피파', 'FC온라인']",2025-09-26T07:21:03Z,soop,00040070
287834100,불금기념 모먼트 세이도르프 금카 영입 야쓰밀란으로 출발합니다  FC온라인 피파4,yohanzzi,김두식_,9,2025-09-26 12:50:33.0,"['신입', '롤', '피파', '캠방']",2025-09-26T07:21:03Z,soop,00040070
287830252,[전]슈챌 1800조 바셀 신규손흥민금카떳다!/막걸리룰렛/식초룰렛/무료스케줄 받아욘~장인임,qkrwlstjq0,아킨펜와.,8,2025-09-26 07:13:00.0,"['피파', 'fc온라인', '피파온라인', '대낙', '남캠']",2025-09-26T07:21:03Z,soop,00040070
