broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287946994,12시 신규패키지 뜨는지 대기 엪온 동생들이랑 포트리스 CK [감컴] 피파4,galsa,두치와뿌꾸,2620,2025-09-30 17:00:09.0,"['피파', 'FC온라인', '축구', '드롭스']",2025-09-30T14:21:43Z,soop,00040070
287944358,포경 할게요 ^^ (포트리스 경기 CK 들어갑니다 ^^ ) 피파4.,6650junghun,유봉훈,268,2025-09-30 14:51:00.0,"['FC온라인', '피파4']",2025-09-30T14:21:43Z,soop,00040070
287948334,이니에스타 금카 구매완료 바르셀로나로 가자   fc온라인 피파4,liyhs4689,제독신,190,2025-09-30 17:55:07.0,"['FC온라인', '제독신', '박준효', '피파온라인4', '피파4']",2025-09-30T14:21:43Z,soop,00040070
287948364,발롱 호날두 금카 강화 클릭 직전.....스케줄 받습니다 피파4,austin09,말키.,170,2025-09-30 17:55:50.0,"['두치와뿌꾸', '피파', 'FC온라인', '이상호', '감스트']",2025-09-30T14:21:43Z,soop,00040070
287948568,포트리스ck 뿌믹유하 vs 빅써으봉 FC온라인 피파4,bxw0pal0,걍하리_,109,2025-09-30 18:00:25.0,"['fc온라인', '피파온라인', '피파4', '피파', '하리']",2025-09-30T14:21:43Z,soop,00040070
287956614,가볍게 포트리스CK 이 날만 기다렸다 피파4,hm05082,임유진.,102,2025-09-30 21:13:27.0,"['FC', '피파', '축구']",2025-09-30T14:21:43Z,soop,00040070
287948804,FSL 드롭스 대박 + 공지 신규 패키지 체크 피파4,gamebanker,게임하는뱅커,100,2025-09-30 18:04:30.0,"['FC온라인', '피파4', '피파시세', '피파', '드롭스']",2025-09-30T14:21:43Z,soop,00040070
287947092,공지 떴다 ㅁㅊ내용 총정리 분석 이적시장 핵폭풍 오겠네요 빅윈 피파4,dstv,빅윈,92,2025-09-30 17:02:09.0,"['빅윈', 'bj두치와뿌꾸', 'FC온라인']",2025-09-30T14:21:43Z,soop,00040070
287946448,[신입여캠1일차],seh0305,으-네,49,2025-09-30 16:35:37.0,"['피파4', '으네', 'fc온라인', '건강하시고', '행복하세요']",2025-09-30T14:21:43Z,soop,00040070
287957242,태연 공식경기 // 스케줄받습니다 ^ㅡ^,rudtlr94,-피파태연,48,2025-09-30 21:31:29.0,"['FC온라인', '피파온라인', '피파', '슈챔', '태연']",2025-09-30T14:21:43Z,soop,00040070
