broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287828414,키보드 슈챔  티어 상승하고싶으면 오세요 피파온라인4 FC온라인/스케줄 맛집,yechan79,흑호*,27,2025-09-26 02:09:28.0,"['스쿼드', '팀평', '두치와뿌꾸', '피파', '이상호']",2025-09-25T22:18:05Z,soop,00040070
287802664,"[영포티 뻥형의 fc online, 피파4] 미션중!!!",yeomdj86,뻥형★,13,2025-09-25 04:55:11.0,"['피파4', 'FC온라인', '축구', '감독모드', '뻥글랜드']",2025-09-25T22:18:05Z,soop,00040070
287827724,[챔스] 현 메타 최적 스쿼드 바로 가능 / 매운맛 팀평·시참·팀리뷰·관피 가능,tjdvkf1112,김성팔.,11,2025-09-26 01:07:40.0,"['FC온라인', '맨유', '호날두', '팀평', '시참']",2025-09-25T22:18:05Z,soop,00040070
287829886,신입) 방송 16회차 FC온라인 바스컵 출전 존버,cardi0809,Cardi_카디,4,2025-09-26 06:08:02.0,"['신입', '신인', '피파', '축구', '감스트']",2025-09-25T22:18:05Z,soop,00040070
287830252,[전]슈챌 1200조 바셀 신규손흥민금카떳다!/막걸리룰렛/식초룰렛/무료스케줄 받아욘~장인임,qkrwlstjq0,아킨펜와.,3,2025-09-26 07:13:00.0,"['피파', 'fc온라인', '피파온라인', '대낙', '남캠']",2025-09-25T22:18:05Z,soop,00040070
287828978,FC온라인 모닝공경,blackjj4424,강폴레옹,2,2025-09-26 03:24:47.0,[],2025-09-25T22:18:05Z,soop,00040070
287829702,●떵갈비● 골룰렛 0골/시참 두과자~~!/방장 월딱,pedro35,한입떡갈비,2,2025-09-26 05:38:03.0,"['FC온라인', '종겜']",2025-09-25T22:18:05Z,soop,00040070
287829744,FC온라인 300조 맨유 만년월클따리,aksenqnwk,여달,1,2025-09-26 05:46:36.0,[],2025-09-25T22:18:05Z,soop,00040070
287828268,피파하러 왔습니다,icemankimi,진건강,1,2025-09-26 01:55:03.0,"['fifa4', '피파4']",2025-09-25T22:18:05Z,soop,00040070
