broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287733534,급생방;; 와 이거 진짜 맞냐? ㄹㅇ ㅋㅋㅋ돌아버리겠네 피파4,hm05082,임유진.,294,2025-09-22 17:58:51.0,"['FC', '피파', '축구']",2025-09-22T14:22:19Z,soop,00040070
287733560,"4231 3공미 부수기 실험중 / 팀리뷰 , 스쿼드메이킹 스케줄 받는 중   fc온라인 피파4",liyhs4689,제독신,159,2025-09-22 17:59:14.0,"['FC온라인', '제독신', '박준효', '피파온라인4', '피파4']",2025-09-22T14:22:19Z,soop,00040070
287733488,인생강화 ㄹㅇ 씨게 갑니다... 장난 x 피파4,austin09,말키.,142,2025-09-22 17:57:40.0,"['두치와뿌꾸', '피파', 'FC온라인', '이상호', '감스트']",2025-09-22T14:22:19Z,soop,00040070
287733706,이제 내가 승자조에 갈 일만 남았다 FC온라인 피파4,bxw0pal0,걍하리_,120,2025-09-22 18:00:48.0,"['fc온라인', '피파온라인', '피파4', '피파', '하리']",2025-09-22T14:22:19Z,soop,00040070
287732508,본캐 3경 롬바르디아 수장. 여캠1황 등장. 팀평/스쿼드 받아용 빅윈 피파4,dstv,빅윈,117,2025-09-22 17:19:47.0,"['빅윈', 'bj두치와뿌꾸', 'FC온라인']",2025-09-22T14:22:19Z,soop,00040070
287732762,FSL 드롭스 팡팡 + 시세 체크 피파4,gamebanker,게임하는뱅커,87,2025-09-22 17:30:10.0,"['FC온라인', '피파4', '피파시세', '피파', '드롭스']",2025-09-22T14:22:19Z,soop,00040070
287740904,2천조 맨찌티 팀갈 발로텔리 영입 + 득점왕 만들기 피파4,we9626,김찌롱.,77,2025-09-22 20:59:27.0,"['피파4', '항상', '감사합니다', '김찌롱']",2025-09-22T14:22:19Z,soop,00040070
287731758,잘봤다 box 난 fox 이제 내가 보여줄 때인가,seh0305,으-네,65,2025-09-22 16:49:52.0,"['피파4', '으네', 'fc온라인', '건강하시고', '행복하세요']",2025-09-22T14:22:19Z,soop,00040070
287738484,[골룰렛8일차] 돌하르박 vs 일피형님 N개빵 리벤지!! 키보드챔스 FC온라인 피파4,tjdghks9238,BJ돌하르박,35,2025-09-22 20:02:41.0,"['제주도', '두치와뿌꾸', '빅윈', 'FC온라인', '피파4']",2025-09-22T14:22:19Z,soop,00040070
287736674,팀리뷰 / 시참 다합니다. ,heesunn,S2써니,33,2025-09-22 19:23:12.0,"['피파4', '피파여캠', '써니', '신입여캠', '두치와뿌꾸']",2025-09-22T14:22:19Z,soop,00040070
287732756,[드롭스가동중] SHYPE 감명깊었다 바로가보자피파4,0317oo,김서진:>,32,2025-09-22 17:30:08.0,"['피파온라인', '피파4']",2025-09-22T14:22:19Z,soop,00040070
287736078,[신입 209일] 팀갈 전에 공경 좀 달릴까유? ㅎㅎㅎ,lookinng,슈떼이,29,2025-09-22 19:06:20.0,"['피파', 'fc온라인', '뿌꾸', '신입', '빅윈']",2025-09-22T14:22:19Z,soop,00040070
287745322,엪온대 강장학과 학생들 모이세요. 집합! 빡컴/리버풀팬 152일차[FC온라인 피파4],tlgus9801,금강신,27,2025-09-22 22:59:40.0,"['두치와뿌꾸', '존잘벅이', 'FC온라인', '리버풀', '먹방']",2025-09-22T14:22:19Z,soop,00040070
287737516,강화란...,nawonjung97,나원뎡,26,2025-09-22 19:45:25.0,"['피파', '피파4']",2025-09-22T14:22:19Z,soop,00040070
287744608,"오늘 운명의날.. 팀갈..잘가 리버풀..❗팀평무료 키보드 챔스👍fc온라인 .피파,신입  ",tmz0857,이게모종.,24,2025-09-22 22:34:36.0,"['신입', '피파', 'FC온라인', '말키', '마빡']",2025-09-22T14:22:19Z,soop,00040070
