category_no,category_name,view_cnt,fixed_tags,cate_img,captured_at_utc,platform
00040008,레트로게임,34,['고전'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3029670d901388446.jpg,2025-11-21T20:29:03+00:00,soop
00580000,펫방,34,['펫방'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2985670d91519b52a.png,2025-11-21T20:29:03+00:00,soop
00040146,러스트,30,"['생존', '인디게임']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3129670d906a6e92a.png,2025-11-21T20:29:03+00:00,soop
00670000,낚시,29,['낚시'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4671670d9155c01c8.jpg,2025-11-21T20:29:03+00:00,soop
00290006,종교,28,"['교양', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3276670d90e4affa7.png,2025-11-21T20:29:03+00:00,soop
00570004,토크/분석,22,"['토크', '분석']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3546670d914b6739d.jpg,2025-11-21T20:29:03+00:00,soop
00800000,WWE,21,['WWE'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4428670d915bf27ad.jpg,2025-11-21T20:29:03+00:00,soop
00350058,썸머 워즈,20,"['썸머워즈', '애니', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/11/21/2287691fd0da343c2.png,2025-11-21T20:29:03+00:00,soop
00040043,테일즈런너,19,"['레이싱', '액션', 'PC']",https://admin.img.sooplive.co.kr/category_img/2025/10/29/68566901a6209ccbf.jpg,2025-11-21T20:29:03+00:00,soop
00040004,던전앤파이터,17,"['MMORPG', '벨트스크롤']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1364670d90107069d.jpg,2025-11-21T20:29:03+00:00,soop
00040081,디아블로 II,14,"['RPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8884670d9034a29c8.jpg,2025-11-21T20:29:03+00:00,soop
00040183,딥 락 갤럭틱: 서바이버,13,"['어드벤처', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2341670d9090b63dd.png,2025-11-21T20:29:03+00:00,soop
00040012,리니지,11,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7928670d90159966d.png,2025-11-21T20:29:03+00:00,soop
00270008,주식,11,"['금융', '주가', '재테크']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7917670d90df82772.png,2025-11-21T20:29:03+00:00,soop
00360022,리니지M,10,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7235670d90fb93b70.jpg,2025-11-21T20:29:03+00:00,soop
00360121,뱀피르,10,"['MMORPG', '뱀파이어']",https://admin.img.sooplive.co.kr/category_img/2025/08/20/324568a5586865f24.jpg,2025-11-21T20:29:03+00:00,soop
00040120,이터널 리턴,9,"['MOBA', '배틀로얄']",https://admin.img.sooplive.co.kr/category_img/2025/10/29/346369019cae5e833.png,2025-11-21T20:29:03+00:00,soop
00040189,프로젝트 좀보이드,9,"['생존', '오픈월드', 'RPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1797670d9096e8dde.jpg,2025-11-21T20:29:03+00:00,soop
00040370,골목길 : 귀흔,9,"['공포', 'PC']",https://admin.img.sooplive.co.kr/category_img/2025/10/31/1792690440a396a0d.png,2025-11-21T20:29:03+00:00,soop
00570013,마인드 스포츠,9,['마인드스포츠'],https://admin.img.sooplive.co.kr/category_img/2024/10/28/9326671f2f742b593.jpg,2025-11-21T20:29:03+00:00,soop
00040085,프리스타일,8,['스포츠게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/7904670d9037bac82.jpg,2025-11-21T20:29:03+00:00,soop
00040096,천하제일상 거상,8,"['MMORPG', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7422670d904320904.jpg,2025-11-21T20:29:03+00:00,soop
00040250,델타포스,8,"['FPS', '슈팅']",https://admin.img.sooplive.co.kr/category_img/2024/12/06/179167526893cf437.jpg,2025-11-21T20:29:03+00:00,soop
00360127,카오스 제로 나이트메어,8,"['RPG', '로그라이트', '모바일']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/85646902f41054a43.jpg,2025-11-21T20:29:03+00:00,soop
00040015,아이온,6,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3287670d9017a8cc7.jpg,2025-11-21T20:29:03+00:00,soop
00360124,아스텔리아 M,6,"['MMORPG', '모바일']",https://admin.img.sooplive.co.kr/category_img/2025/10/14/976968ee0fca3fca3.jpg,2025-11-21T20:29:03+00:00,soop
00040184,아이작의 번제: 리버스,5,"['어드벤처', '아케이드']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6814670d9091be1b1.jpg,2025-11-21T20:29:03+00:00,soop
00350057,시간을 달리는 소녀,5,"['시간을달리는소녀', '애니', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/11/11/33766912e8ba7ec47.jpg,2025-11-21T20:29:03+00:00,soop
00360003,모바일 종합게임,5,['모바일게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6098670d90f664702.jpg,2025-11-21T20:29:03+00:00,soop
00390003,JTBC,5,"['뉴스', '시사', '종편', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2025/03/17/148667d7dcd14eabd.jpg,2025-11-21T20:29:03+00:00,soop
00390006,TV CHOSUN,5,"['뉴스', '시사', '종편', '예능', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9857670d91441a338.jpg,2025-11-21T20:29:03+00:00,soop
00040080,데드 바이 데이라이트,3,"['공포', '인디게임']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5951670d903399abf.jpg,2025-11-21T20:29:03+00:00,soop
00040175,크레이지 아케이드,3,"['아케이드', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4996670d90887018b.jpg,2025-11-21T20:29:03+00:00,soop
00360102,젠레스 존 제로,3,"['모바일게임', 'RPG', 'HoYoverse']",https://admin.img.sooplive.co.kr/category_img/2025/10/29/71806901c21d19b49.jpg,2025-11-21T20:29:03+00:00,soop
00360113,마비노기 모바일,3,"['MMORPG', '모바일']",https://admin.img.sooplive.co.kr/category_img/2025/03/27/500367e4b6fc56852.jpg,2025-11-21T20:29:03+00:00,soop
00720000,LCK,3,['MOBA'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/1707670d9156ca223.jpg,2025-11-21T20:29:03+00:00,soop
00960024,다만 악에서 구하소서,3,"['영화', '같이보기', '다만악']",https://admin.img.sooplive.co.kr/category_img/2025/11/11/60776912e603b81bd.jpg,2025-11-21T20:29:03+00:00,soop
00040007,스페셜포스,2,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4863670d901280438.jpg,2025-11-21T20:29:03+00:00,soop
00040078,카운터 스트라이크 2,2,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1519670d90318a084.jpg,2025-11-21T20:29:03+00:00,soop
00040087,이카루스,2,"['MMORPG', 'PC']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/681969032e422558b.jpg,2025-11-21T20:29:03+00:00,soop
00040107,이스케이프 프롬 타르코프,2,"['슈팅', 'RPG', '시뮬레이션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6878670d9049544ae.jpg,2025-11-21T20:29:03+00:00,soop
00040108,콜 오브 듀티,2,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3875670d904a5d162.jpg,2025-11-21T20:29:03+00:00,soop
00040128,오버워치 2,2,"['슈팅', '액션', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2025/10/29/39956901ace14a5c6.jpg,2025-11-21T20:29:03+00:00,soop
00040132,갓 오브 워 라그나로크,2,"['어드벤처', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6909670d905becf0a.jpg,2025-11-21T20:29:03+00:00,soop
00040160,팰월드,2,"['오픈월드', 'TPS', '서바이벌']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1210670d9078ee572.jpg,2025-11-21T20:29:03+00:00,soop
00170000,국내프로축구,2,['축구'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5301670d90d53050e.jpg,2025-11-21T20:29:03+00:00,soop
00360069,오딘: 발할라 라이징,2,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6622670d911aa5f7d.png,2025-11-21T20:29:03+00:00,soop
00570007,골프,2,['골프'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/8814670d914e803d6.jpg,2025-11-21T20:29:03+00:00,soop
00030003,노래방,1,['노래방'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6936670d900b45f84.jpg,2025-11-21T20:29:03+00:00,soop
00040092,R2,1,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4237670d903f004fa.jpg,2025-11-21T20:29:03+00:00,soop
00040262,시드 마이어의 문명 VII,1,"['시뮬레이션', '턴제', 'PC']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/8353690343ca67a5f.jpg,2025-11-21T20:29:03+00:00,soop
00040304,클레르 옵스퀴르: 33 원정대,1,"['RPG', '턴제']",https://admin.img.sooplive.co.kr/category_img/2025/05/07/9690681af60c228fe.png,2025-11-21T20:29:03+00:00,soop
00270004,해외선물,1,['선물'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6375670d90db6403d.jpg,2025-11-21T20:29:03+00:00,soop
00270007,기타 금융,1,['기타금융'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5524670d90de7b0a6.jpg,2025-11-21T20:29:03+00:00,soop
00270009,파생,1,"['금융', '거래', '주가']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6878670d90e089a41.png,2025-11-21T20:29:03+00:00,soop
00290007,경제,1,"['재테크', '부동산', '교양', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5826670d90e5b7dd9.jpg,2025-11-21T20:29:03+00:00,soop
00360021,리니지2:레볼루션,1,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6309670d90fa8c859.jpg,2025-11-21T20:29:03+00:00,soop
00360068,제2의 나라,1,"['모바일게임', 'RPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/638869034a6bb104f.jpg,2025-11-21T20:29:03+00:00,soop
00360122,아키텍트,1,"['MMORPG', '크로스플랫폼']",https://admin.img.sooplive.co.kr/category_img/2025/09/15/417568c7adb6421b3.jpg,2025-11-21T20:29:03+00:00,soop
00570005,기타 스포츠,1,['기타스포츠'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/7029670d914c709f1.jpg,2025-11-21T20:29:03+00:00,soop
00020006,뷰티,0,['뷰티'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2819670d9003ef162.png,2025-11-21T20:29:03+00:00,soop
00020012,숲토어,0,['숲토어'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4375670d900825438.png,2025-11-21T20:29:03+00:00,soop
00030005,X2,0,"['X2', '엑스투']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9074670d900c4e6c8.jpg,2025-11-21T20:29:03+00:00,soop
00040002,워크래프트 III,0,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/11/11/665767318e1d2925a.jpg,2025-11-21T20:29:03+00:00,soop
00040011,월드 오브 워크래프트,0,"['MMORPG', '오픈월드', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7298670d9014911e3.jpg,2025-11-21T20:29:03+00:00,soop
00040016,스타크래프트 II,0,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6566670d9018b245d.jpg,2025-11-21T20:29:03+00:00,soop
00040020,디아블로 III,0,"['RPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2024/11/12/23696732c4b55338c.jpg,2025-11-21T20:29:03+00:00,soop
00040022,블레이드 앤 소울,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2107670d901cd1d55.png,2025-11-21T20:29:03+00:00,soop
00040033,사이퍼즈,0,"['MOBA', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7977670d901ee22d1.png,2025-11-21T20:29:03+00:00,soop
00040039,하스스톤,0,['TCG'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5261670d902101a09.jpg,2025-11-21T20:29:03+00:00,soop
00040040,마비노기,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1384670d9022097f8.png,2025-11-21T20:29:03+00:00,soop
00040042,버블파이터,0,"['슈팅', '캐주얼']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4435670d9023130f4.png,2025-11-21T20:29:03+00:00,soop
00040050,히어로즈 오브 더 스톰,0,"['MOBA', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1854670d9025230a2.jpg,2025-11-21T20:29:03+00:00,soop
00040061,철권 7,0,"['격투', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8301670d90262c804.jpg,2025-11-21T20:29:03+00:00,soop
00040065,바람의나라,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6188670d902736d76.jpg,2025-11-21T20:29:03+00:00,soop
00040069,포트나이트,0,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8349670d902a4d86e.jpg,2025-11-21T20:29:03+00:00,soop
00040073,Apex 레전드,0,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5237670d902c643d1.jpg,2025-11-21T20:29:03+00:00,soop
00040074,패스 오브 엑자일,0,"['액션', 'RPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7076670d902d6bebb.jpg,2025-11-21T20:29:03+00:00,soop
00040076,오토 체스,0,"['전략', '오토배틀러']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9237670d902f7ae4c.jpg,2025-11-21T20:29:03+00:00,soop
00040077,아크 서바이벌 이볼브드,0,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7818670d90308292a.jpg,2025-11-21T20:29:03+00:00,soop
00040079,다크에덴,0,"['MMORPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/704269032e02cb6f7.jpg,2025-11-21T20:29:03+00:00,soop
00040082,도타2,0,"['MOBA', '전략']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2951670d9035aaf48.jpg,2025-11-21T20:29:03+00:00,soop
00040083,엘소드,0,"['MMORPG', '액션', '어드벤쳐']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/923569032ddea8787.jpg,2025-11-21T20:29:03+00:00,soop
00040086,겟앰프드,0,"['격투', '캐주얼']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/417569032e21346e4.jpg,2025-11-21T20:29:03+00:00,soop
00040088,마구마구,0,"['스포츠게임', '한게임', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2697670d903ad2c07.jpg,2025-11-21T20:29:03+00:00,soop
