broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
290306848,1500만원 미션 48시간안에 서간벨 챔스 or 토니 크로스 금카 성공 [감컴] 피파4,galsa,두치와뿌꾸,1833,2025-12-28 15:53:59.0,"['피파', '축구', '감컴퍼니', 'EPL']",2025-12-28T21:28:40Z,soop,00040070
290312392,막골이형 본캐 모먼트 바조 금카 지금 갑니다. /리버풀팬 248일차[FC온라인 피파4],tlgus9801,금강신,41,2025-12-28 19:16:14.0,"['두치와뿌꾸', '존잘벅이', 'FC온라인', '리버풀', '먹방']",2025-12-28T21:28:40Z,soop,00040070
290318400,[노방종골룰렛15일차] 굿바이 인테르 내일 어떤팀이 될까??  키보드챔스 FC온라인 피파4,tjdghks9238,BJ돌하르박,15,2025-12-28 21:59:53.0,"['제주도', '두치와뿌꾸', '빅윈', 'FC온라인', '피파4']",2025-12-28T21:28:40Z,soop,00040070
290322632,[챔스] 급여 300 스쿼드 바로 가능 / 매운맛 팀평·시참·팀리뷰·관피 가능,tjdvkf1112,김성팔.,13,2025-12-29 01:31:52.0,"['FC온라인', '맨유', '호날두', '팀평', '시참']",2025-12-28T21:28:40Z,soop,00040070
290316330,👊 원하는겜 4시간 죽음의 칼바람 증강,ash4954,″깡통좌″,12,2025-12-28 21:00:02.0,"['FC온라인', '롤', '피파4', '존잘벅이']",2025-12-28T21:28:40Z,soop,00040070
290138776,골룰렛34일차610골 [3200조 리버풀]스케줄 환영  맞즐환영,qkrwlstjq0,아킨펜와.,10,2025-12-21 21:06:58.0,"['피파', 'fc온라인', '팀평', '여캠', '엑셀']",2025-12-28T21:28:40Z,soop,00040070
290313204,영포티 뻥형의 FC ONLINE 미션 빡세네,yeomdj86,뻥형★,9,2025-12-28 19:38:39.0,"['엪온', 'fc', '피파4', '감모', '토크']",2025-12-28T21:28:40Z,soop,00040070
290307048,[15시간 노방종 막날]비매 그마아아안!/3부 롤체/첫 즐찾 무료팀평/미션 환영/,rhkdgjs,자벨.,8,2025-12-28 16:01:21.0,"['LOL', '피파', 'fc온라인']",2025-12-28T21:28:40Z,soop,00040070
290324352,피파 방송 무료 팀평 시참 무료 팀짜드려요.잔잔한 노래들어요,gomdori34,곰돌이베어,3,2025-12-29 06:22:40.0,[],2025-12-28T21:28:40Z,soop,00040070
290324212,maxou57970님의 방송입니다.,maxou57970,maxou57970,3,2025-12-29 05:54:55.0,[],2025-12-28T21:28:40Z,soop,00040070
