broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
290195770,[챔스] 현역 뮌헨 7800조 케인 헤딩 미쳤다,tjdvkf1112,김성팔.,20,2025-12-24 01:50:05.0,"['FC온라인', '맨유', '호날두', '팀평', '시참']",2025-12-23T22:29:17Z,soop,00040070
290167536,"[노방종골룰렛10일차] 내년 크리스마스까지 골 까야되는 놈,,,  키보드챔스 FC온라인 피파4",tjdghks9238,BJ돌하르박,14,2025-12-22 23:01:30.0,"['제주도', '두치와뿌꾸', '빅윈', 'FC온라인', '피파4']",2025-12-23T22:29:17Z,soop,00040070
290186400,*노방종 골룰렛 7일차 * 쉴드단 오빵이들 구해염 &gt;_&lt;,lookinng,슈떼이,14,2025-12-23 20:02:37.0,"['피파', 'fc온라인', '뿌꾸', '신입', '빅윈']",2025-12-23T22:29:17Z,soop,00040070
290194312,[제라덕 1500조 덕약스] 칼바람 아수라장 뛰어볼게연 !! &lt;30시간 노잠 노방종&gt; !!,nwoejr9876,제라덕,8,2025-12-23 23:56:19.0,"['감컴팬', '꾸티뉴팬', '종겜', '낭만']",2025-12-23T22:29:17Z,soop,00040070
290138776,전슈챌-&gt;현프로[골룰렛 약26일] 리버풀3200조 .. 맞즐환영,qkrwlstjq0,아킨펜와.,8,2025-12-21 21:06:58.0,"['피파', 'fc온라인', '팀평', '여캠', '엑셀']",2025-12-23T22:29:17Z,soop,00040070
290191890,새벽 키퍼 방송 on :: 키퍼 500개로 붙을떄까지!!,wktjd1481,ZzinTao,6,2025-12-23 22:20:26.0,"['fc온라인', '백금', '강화', '골키퍼', '직강']",2025-12-23T22:29:17Z,soop,00040070
290196968,"피온4  올해도 솔로 팀평, 스쿼드제작, 시참",nwlsrua,허곰777,4,2025-12-24 04:55:18.0,"['djmax', '피파']",2025-12-23T22:29:17Z,soop,00040070
