broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287977500,[하데스] 공포게임........하는데...옆에있어주세요...,chaenna02,챈나,1609,2025-10-01 18:59:22.0,['하데스'],2025-10-01T16:27:48Z,soop,00810000
287973992,[강씨세가]강만식 불멍,rkdakstlr911,강만식,1150,2025-10-01 16:57:31.0,[],2025-10-01T16:27:48Z,soop,00810000
287971560,[버컴] 후열 카페 탬뱅,gofl2237,해리,647,2025-10-01 15:00:24.0,"['버츄얼', '프리즈', '버컴', '종합게임', '모캡']",2025-10-01T16:27:48Z,soop,00810000
287977762,9시에.. 소크라테스 형님과 합방합니다,htvv2i,햇비,474,2025-10-01 19:01:51.0,"['버튜버', '노래']",2025-10-01T16:27:48Z,soop,00810000
287989432,길버트... 아마최 극대노 사건.. 꼬꼬무..,gilbet1801,철도왕길버트,294,2025-10-02 00:31:21.0,"['아카데미', '왁타버스', '왁타우선주의', '고교멤', '철도왕']",2025-10-01T16:27:48Z,soop,00810000
287981058,3주년이라니 감사합니다! [버컴],yjw5067,봄세이,197,2025-10-01 20:13:11.0,"['봄세이', '버츄얼', '라디오']",2025-10-01T16:27:48Z,soop,00810000
287969048,6쥐돌이의 모닥불 토크,muse0116,뮤즈_MUSE,180,2025-10-01 12:33:38.0,"['버튜버', '버추얼', '꼬라지']",2025-10-01T16:27:48Z,soop,00810000
287977154,[버컴]  3부 후열,0e0e4e,키이세,168,2025-10-01 18:49:59.0,"['키이세', '아니고', '키위새', '버컴', '마병대']",2025-10-01T16:27:48Z,soop,00810000
287986984,재미따 [시그널],choiagain,최또,162,2025-10-01 22:44:59.0,"['신입', '버츄얼', '소통', '버추얼']",2025-10-01T16:27:48Z,soop,00810000
287975348,"자랭 3연승 각방 6000개 [스맵, 표우, 임유진, 카라멜]",danz59,단즈_,157,2025-10-01 17:52:15.0,"['한화', '버추얼', '버츄얼']",2025-10-01T16:27:48Z,soop,00810000
287983988,[탱글다키]생일기념 VR챗 팬미팅! ☆,yourdarky,다키_,141,2025-10-01 21:19:43.0,"['다키', '버추얼', '섹시', '풀트', '홍신소']",2025-10-01T16:27:48Z,soop,00810000
287978860,[플랜비] 이봤,s07o24,송밤,125,2025-10-01 19:30:09.0,"['랩', '송밤', '플랜비', '버츄얼']",2025-10-01T16:27:48Z,soop,00810000
287980962,도파민내놔 CloverPit,nyanyavkr2,냐냐,99,2025-10-01 20:11:24.0,"['냐냐', '버츄얼', '냐파스', '멜리고', '개모임']",2025-10-01T16:27:48Z,soop,00810000
287978990,[조적단]vr 불멍 때리기 ,aa6232,쥐돌이쥐돌이,91,2025-10-01 19:31:57.0,"['배틀그라운드', '리그오브레전드', '마인크래프트', '버추얼']",2025-10-01T16:27:48Z,soop,00810000
287980862,[수니그룹/버니문] 후열 노래뱅똥 :♩   ,chur1004,츄르CHUR,90,2025-10-01 20:08:27.0,"['노래', '버추얼', '츄르', '버니문', '수니그룹']",2025-10-01T16:27:48Z,soop,00810000
287980376,[버컴] 이다랑 Carry The Glass/즐찾1만명 촉각슈트합니다!,amaiyk0105,아마이유키,85,2025-10-01 20:00:37.0,"['버추얼', '크레비쥬', '뉴걸', '버컴']",2025-10-01T16:27:48Z,soop,00810000
287971558,뻔뻔 노래방 🤎,5959700,라무♥,85,2025-10-01 15:00:19.0,"['여캠', '뉴걸', '지력', '지력사무소']",2025-10-01T16:27:48Z,soop,00810000
